issue_date,created_at,amount_due,county,fine_amount,interest_amount,issuing_agency,judgment_entry_date,license_type,payment_amount,penalty_amount,plate,precinct,reduction_amount,state,summons_number,violation,violation_status,violation_time
2025-04-13T08:00:00.000000-0400,2025-04-20T01:53:02.192000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,HVV8423,0,0.0,NY,4943625630,PHTO SCHOOL ZN SPEED VIOLATION,,12:06A
2023-10-10T08:00:00.000000-0400,2023-10-16T16:18:20.947000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,D92RJR,0,0.0,NJ,4867038659,PHTO SCHOOL ZN SPEED VIOLATION,,07:58A
2024-11-11T10:00:00.000000-0500,2024-11-24T02:42:12.312000-0500,0.0,BX,50.0,0.65,DEPARTMENT OF TRANSPORTATION,2025-02-06T05:00:00.000000-0500,COM,75.65,25.0,65687NB,0,0.0,NY,4925626346,PHTO SCHOOL ZN SPEED VIOLATION,,10:37A
2025-03-15T08:00:00.000000-0400,2025-03-23T01:42:38.057000-0400,0.0,ST,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,SRF,50.0,0.0,STVRBOY,0,0.0,NY,4940448460,PHTO SCHOOL ZN SPEED VIOLATION,,12:30P
2024-07-19T08:00:00.000000-0400,2024-07-28T01:39:35.387000-0400,0.0,ST,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,DSW8707,0,0.0,NY,4908211760,PHTO SCHOOL ZN SPEED VIOLATION,,11:52A
2023-04-22T08:00:00.000000-0400,2023-04-30T01:43:42.393000-0400,0.0,ST,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,G22RXE,0,0.0,NJ,4837475190,PHTO SCHOOL ZN SPEED VIOLATION,,07:14A
2024-08-03T08:00:00.000000-0400,2024-08-11T01:35:40.742000-0400,0.0,MN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LKA1726,0,0.0,NY,4910820012,PHTO SCHOOL ZN SPEED VIOLATION,,02:04P
2023-07-05T08:00:00.000000-0400,2023-07-17T13:20:29.469000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,0.0,KHF4982,0,50.0,NY,4850063597,PHTO SCHOOL ZN SPEED VIOLATION,,05:28P
2025-08-27T08:00:00.000000-0400,2025-09-07T01:45:19.540000-0400,75.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,25.0,86608HM,0,0.0,VA,4962595970,PHTO SCHOOL ZN SPEED VIOLATION,,03:05P
2024-06-24T08:00:00.000000-0400,2024-06-30T01:35:42.301000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,LBF2596,0,0.0,NY,4903839709,PHTO SCHOOL ZN SPEED VIOLATION,,01:35P
2025-05-24T08:00:00.000000-0400,2025-06-08T01:38:44.962000-0400,0.0,ST,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,HWT6308,0,0.0,NY,4949380825,PHTO SCHOOL ZN SPEED VIOLATION,,11:34A
2024-10-16T08:00:00.000000-0400,2024-10-27T01:53:44.900000-0400,0.0,MN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,KHL8788,0,0.0,NY,4922283560,PHTO SCHOOL ZN SPEED VIOLATION,,02:56P
2023-02-24T10:00:00.000000-0500,2023-03-05T02:30:55.429000-0500,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,OMS,50.0,0.0,KUH1027,0,0.0,NY,4828920146,PHTO SCHOOL ZN SPEED VIOLATION,,07:39P
2023-12-31T10:00:00.000000-0500,2024-01-16T16:02:48.918000-0500,0.0,MN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,EHD6800,0,0.0,NY,4879910867,PHTO SCHOOL ZN SPEED VIOLATION,,08:55A
2024-06-09T08:00:00.000000-0400,2024-06-23T01:35:49.876000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,75.0,25.0,KYR7062,0,0.0,NY,4901756175,PHTO SCHOOL ZN SPEED VIOLATION,,04:26A
2023-07-10T08:00:00.000000-0400,2023-07-17T13:20:29.469000-0400,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,HFH2465,0,0.0,NY,4850841594,PHTO SCHOOL ZN SPEED VIOLATION,,01:11P
2023-02-06T10:00:00.000000-0500,2023-02-15T19:08:50.650000-0500,75.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,25.0,JPB5740,0,0.0,NY,4825986353,PHTO SCHOOL ZN SPEED VIOLATION,,09:16P
2024-07-07T08:00:00.000000-0400,2024-07-22T19:30:42.522000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,SRF,50.0,0.0,DOVISDOV,0,0.0,NY,4906460148,PHTO SCHOOL ZN SPEED VIOLATION,,12:01P
2024-03-17T08:00:00.000000-0400,2024-03-31T01:32:14.971000-0400,0.0,ST,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,JJG6656,0,0.0,NY,4889667271,PHTO SCHOOL ZN SPEED VIOLATION,,12:03P
